rikishi1_rank_name,rikishi2_rank_name,rikishi1_rank_level,rikishi2_rank_level,rikishi1_win_prc,rikishi2_win_prc,rikishi1_fusen,rikishi2_fusen,rikishi1_hth_wins,rikishi2_hth_wins,y
O,M,3,1,0.8,0.2,0,0,11,4,yes
O,S,2,1,1,0.8,0,0,15,5,no
K,O,1,2,0,1,0,0,1,1,no
O,S,1,1,0.4,0.6,0,0,20,9,yes
M,O,1,1,0.4,1,0,0,5,12,no
Y,M,1,2,1,0.2,0,0,12,0,yes
M,M,14,16,0.3333333333333333,0.3333333333333333,0,0,1,1,yes
M,M,16,13,0.3333333333333333,0.8333333333333334,0,0,1,0,yes
M,M,15,13,0.6666666666666666,0.8333333333333334,0,0,0,0,yes
M,M,12,15,0.3333333333333333,0.3333333333333333,0,0,0,1,yes
M,M,14,10,0.5,0.6666666666666666,0,0,1,2,no
M,M,10,11,0.5,0.5,0,0,3,0,yes
M,M,11,9,0.6666666666666666,0.16666666666666666,0,0,4,5,no
M,M,12,9,0.16666666666666666,0.6666666666666666,0,0,0,0,no
M,M,6,7,0.5,0.16666666666666666,0,0,0,0,yes
M,M,6,7,0.3333333333333333,0.6666666666666666,0,0,5,3,yes
M,M,5,8,0.6666666666666666,0.6666666666666666,0,0,4,9,no
M,M,8,5,0.6666666666666666,0.5,0,0,2,3,no
M,M,2,4,0,0.5,0,0,2,1,no
M,M,1,1,0.3333333333333333,0.16666666666666666,0,0,7,10,yes
K,S,1,1,0,0.5,0,0,4,6,yes
S,O,1,1,0.8333333333333334,1,0,0,7,14,no
K,O,1,3,0,0.8333333333333334,0,0,1,1,no
O,M,2,2,0.8333333333333334,0.16666666666666666,0,0,10,5,no
O,M,2,4,1,0.5,0,0,9,6,no
O,M,1,3,0.5,0.6666666666666666,0,0,0,0,yes
M,Y,3,1,0.16666666666666666,1,0,0,0,4,no
M,M,13,16,0.7142857142857143,0.42857142857142855,0,0,0,1,yes
M,M,13,15,0.7142857142857143,0.2857142857142857,0,0,0,1,yes
M,M,12,15,0.14285714285714285,0.7142857142857143,0,0,0,2,no
M,M,14,11,0.42857142857142855,0.42857142857142855,0,0,0,1,yes
M,M,11,14,0.5714285714285714,0.42857142857142855,0,0,2,2,no
M,M,16,10,0.2857142857142857,0.5714285714285714,0,0,0,0,no
M,M,8,12,0.7142857142857143,0.42857142857142855,0,0,2,1,yes
M,M,9,7,0.7142857142857143,0.14285714285714285,0,0,0,0,no
M,M,6,10,0.42857142857142855,0.7142857142857143,0,0,3,0,yes
M,M,6,7,0.5714285714285714,0.5714285714285714,0,0,3,5,yes
M,M,9,5,0.2857142857142857,0.5714285714285714,0,0,1,0,no
M,M,5,8,0.5714285714285714,0.5714285714285714,0,0,0,0,yes
M,M,1,4,0.14285714285714285,0.5714285714285714,0,0,1,0,no
M,M,1,2,0.42857142857142855,0.2857142857142857,0,0,7,6,yes
K,S,1,1,0,0.7142857142857143,0,0,0,1,yes
K,O,1,1,0.14285714285714285,0.5714285714285714,0,0,7,11,yes
M,O,3,1,0.14285714285714285,1,0,0,0,5,no
O,M,3,2,0.8571428571428571,0,0,0,5,0,yes
O,M,2,4,0.7142857142857143,0.5714285714285714,0,0,9,3,yes
S,O,1,2,0.42857142857142855,0.8571428571428571,0,0,11,13,no
Y,M,1,3,1,0.5714285714285714,0,0,0,0,yes
M,M,14,13,0.5,0.75,0,0,0,2,no
M,M,14,13,0.5,0.75,0,0,1,0,no
M,M,16,12,0.25,0.375,0,0,0,1,yes
M,M,12,15,0.125,0.25,0,0,1,0,no
M,M,15,11,0.75,0.5,0,0,1,0,no
M,M,11,16,0.375,0.375,0,0,0,2,yes
M,M,10,7,0.625,0.25,0,0,0,0,yes
M,M,10,7,0.625,0.5,0,0,5,1,yes
M,M,6,9,0.625,0.25,0,0,1,0,yes
M,M,6,8,0.5,0.5,0,0,0,0,yes
M,M,5,9,0.625,0.625,0,0,4,4,no
M,M,8,5,0.75,0.625,0,0,0,0,yes
M,M,2,4,0.25,0.625,0,0,1,0,yes
M,M,1,2,0.5,0,0,0,0,2,no
K,K,1,1,0.25,0.125,0,0,2,1,no
S,M,1,1,0.625,0.125,0,0,10,0,yes
M,O,3,1,0.125,0.5,0,0,1,6,no
O,M,1,3,1,0.5,0,0,0,0,yes
O,M,3,4,0.875,0.5,0,0,5,5,yes
O,O,2,2,0.75,0.875,0,0,15,16,yes
Y,S,1,1,1,0.375,0,0,19,2,yes
M,M,15,14,0.6666666666666666,0.4444444444444444,0,0,1,0,yes
M,M,13,15,0.7777777777777778,0.3333333333333333,0,0,1,1,yes
M,M,12,16,0.1111111111111111,0.3333333333333333,0,0,2,1,yes
M,M,16,12,0.3333333333333333,0.3333333333333333,0,0,0,0,no
M,M,11,14,0.4444444444444444,0.4444444444444444,0,0,2,5,yes
M,M,11,8,0.5555555555555556,0.4444444444444444,0,0,3,2,no
M,M,8,13,0.7777777777777778,0.7777777777777778,0,0,0,0,yes
M,M,10,7,0.6666666666666666,0.4444444444444444,0,0,1,1,yes
M,M,10,7,0.6666666666666666,0.2222222222222222,0,0,0,0,no
M,M,9,5,0.6666666666666666,0.5555555555555556,0,0,0,0,no
M,M,5,9,0.5555555555555556,0.2222222222222222,0,0,3,0,no
M,M,6,4,0.5555555555555556,0.4444444444444444,0,0,4,7,no
M,M,6,4,0.6666666666666666,0.5555555555555556,0,0,2,0,yes
M,M,2,2,0.1111111111111111,0.3333333333333333,0,0,0,4,yes
K,M,1,1,0.2222222222222222,0.1111111111111111,0,0,7,6,yes
M,K,1,1,0.4444444444444444,0.2222222222222222,0,0,2,0,yes
O,M,2,3,0.7777777777777778,0.4444444444444444,0,0,0,0,yes
M,O,3,2,0.1111111111111111,0.7777777777777778,0,0,1,3,no
S,O,1,1,0.3333333333333333,1,0,0,4,13,no
O,O,1,3,0.5555555555555556,0.8888888888888888,0,0,24,12,no
Y,S,1,1,1,0.6666666666666666,0,0,20,0,no
M,M,14,12,0.4,0.4,0,0,1,1,yes
M,M,12,14,0.2,0.4,0,0,0,4,yes
M,M,16,11,0.3,0.5,0,0,0,0,no
M,M,10,16,0.7,0.3,0,0,1,2,yes
M,M,15,9,0.7,0.3,0,0,1,2,no
M,M,8,15,0.8,0.3,0,0,0,0,yes
M,M,8,13,0.5,0.8,0,0,1,1,yes
M,M,11,7,0.5,0.4,0,0,0,0,yes
M,M,6,9,0.7,0.6,0,0,4,4,no
M,M,6,13,0.5,0.7,0,0,0,0,yes
M,M,10,5,0.6,0.5,0,0,4,6,yes
M,M,4,7,0.5,0.3,0,0,0,0,yes
M,M,3,5,0.4,0.6,0,0,0,0,no
M,M,3,2,0.1,0.3,0,0,0,5,no
K,M,1,2,0.2,0.2,0,0,5,3,yes
M,K,1,1,0.5,0.3,0,0,11,11,yes
S,M,1,1,0.3,0.1,0,0,5,11,no
S,O,1,2,0.7,0.8,0,0,11,9,yes
O,M,1,4,0.5,0.5,0,0,11,3,yes
O,O,2,1,0.8,1,0,0,12,10,no
Y,O,1,3,0.9,0.9,0,0,24,7,yes
J,M,1,16,0.5454545454545454,0.2727272727272727,0,0,1,4,no
J,M,1,15,0.6363636363636364,0.2727272727272727,0,0,0,0,yes
M,M,14,12,0.36363636363636365,0.36363636363636365,0,0,1,2,yes
M,M,16,11,0.2727272727272727,0.5454545454545454,0,0,3,0,no
M,M,11,13,0.5454545454545454,0.6363636363636364,0,0,0,3,yes
M,M,14,10,0.45454545454545453,0.7272727272727273,0,0,0,1,no
M,M,8,13,0.8181818181818182,0.7272727272727273,0,0,0,0,no
M,M,12,7,0.2727272727272727,0.36363636363636365,0,0,0,0,no
M,M,9,7,0.36363636363636365,0.2727272727272727,0,0,0,0,no
M,M,6,9,0.5454545454545454,0.6363636363636364,0,0,3,8,yes
M,M,6,10,0.6363636363636364,0.6363636363636364,0,0,5,7,no
M,M,15,5,0.6363636363636364,0.45454545454545453,0,0,2,3,yes
M,M,8,4,0.5454545454545454,0.5454545454545454,0,0,1,3,no
M,M,3,5,0.09090909090909091,0.6363636363636364,0,0,0,1,no
M,M,1,4,0.5454545454545454,0.45454545454545453,0,0,4,5,yes
K,M,1,2,0.2727272727272727,0.36363636363636365,0,0,2,7,no
K,M,1,1,0.2727272727272727,0.18181818181818182,0,0,0,3,no
S,M,1,2,0.2727272727272727,0.18181818181818182,0,0,5,1,yes
O,O,3,1,0.8181818181818182,1,0,0,3,17,no
O,M,2,3,0.7272727272727273,0.36363636363636365,0,0,0,0,yes
S,O,1,1,0.7272727272727273,0.5454545454545454,0,0,8,10,no
O,Y,2,1,0.7272727272727273,0.9090909090909091,0,0,10,23,yes
M,M,11,10,0.5833333333333334,0.75,0,0,0,1,no
M,M,10,14,0.6666666666666666,0.4166666666666667,0,0,0,1,yes
M,M,16,9,0.25,0.3333333333333333,0,0,0,1,yes
M,M,9,13,0.5833333333333334,0.75,0,0,0,0,yes
M,M,11,8,0.5833333333333334,0.75,0,0,0,0,no
M,M,15,8,0.6666666666666666,0.5,0,0,0,1,yes
M,M,15,7,0.25,0.3333333333333333,0,0,1,1,no
M,M,16,7,0.3333333333333333,0.4166666666666667,0,0,0,1,no
M,M,6,13,0.5833333333333334,0.5833333333333334,0,0,0,0,no
M,M,14,6,0.4166666666666667,0.5833333333333334,0,0,0,0,yes
M,M,12,5,0.25,0.6666666666666666,0,0,0,1,no
M,M,4,12,0.4166666666666667,0.3333333333333333,0,0,4,2,yes
M,M,3,5,0.08333333333333333,0.4166666666666667,0,0,1,6,no
M,M,1,2,0.25,0.16666666666666666,0,0,2,3,no
K,M,1,3,0.25,0.3333333333333333,0,0,2,1,yes
S,M,1,2,0.3333333333333333,0.4166666666666667,0,0,10,3,yes
M,S,1,1,0.5833333333333334,0.6666666666666666,0,0,11,5,no
O,O,1,1,0.5833333333333334,1,0,0,10,12,no
O,M,3,4,0.75,0.5833333333333334,0,0,1,0,yes
K,O,1,2,0.25,0.75,0,0,6,11,no
Y,O,1,2,0.8333333333333334,0.75,0,0,28,7,no
M,J,12,1,0.23076923076923078,0.46153846153846156,0,0,2,7,no
M,J,12,2,0.3076923076923077,0.6153846153846154,0,0,0,0,no
M,M,11,16,0.5384615384615384,0.3076923076923077,0,0,3,2,yes
M,M,16,9,0.3076923076923077,0.6153846153846154,0,0,0,0,no
M,M,14,9,0.38461538461538464,0.3076923076923077,0,0,2,1,no
M,M,8,13,0.46153846153846156,0.6153846153846154,0,0,2,1,yes
M,M,15,8,0.6923076923076923,0.7692307692307693,0,0,1,5,no
M,M,7,15,0.46153846153846156,0.23076923076923078,0,0,0,0,yes
M,M,6,11,0.5384615384615384,0.5384615384615384,0,0,0,1,yes
M,M,10,5,0.6923076923076923,0.6923076923076923,0,0,0,0,yes
M,M,5,10,0.46153846153846156,0.7692307692307693,0,0,1,0,no
M,M,4,7,0.46153846153846156,0.38461538461538464,0,0,0,0,no
M,M,14,4,0.46153846153846156,0.5384615384615384,0,0,1,0,no
M,M,1,2,0.23076923076923078,0.38461538461538464,0,0,3,7,yes
K,M,1,2,0.23076923076923078,0.23076923076923078,0,0,1,2,no
M,K,3,1,0.07692307692307693,0.3076923076923077,0,0,5,1,no
S,M,1,3,0.6923076923076923,0.3076923076923077,0,0,0,0,no
M,S,1,1,0.5384615384615384,0.38461538461538464,0,0,12,16,yes
O,O,2,1,0.7692307692307693,1,0,0,11,8,no
O,O,2,3,0.7692307692307693,0.7692307692307693,0,0,22,13,yes
Y,O,1,1,0.7692307692307693,0.5384615384615384,0,0,27,3,yes
M,J,16,3,0.2857142857142857,0.42857142857142855,0,0,1,2,yes
M,J,14,2,0.35714285714285715,0.6428571428571429,0,0,3,1,no
J,M,1,12,0.5,0.2857142857142857,0,0,1,1,yes
M,M,12,10,0.21428571428571427,0.7142857142857143,0,0,0,1,no
M,M,9,15,0.35714285714285715,0.21428571428571427,0,0,1,0,yes
M,M,9,13,0.6428571428571429,0.5714285714285714,0,0,0,0,yes
M,M,8,10,0.7857142857142857,0.7857142857142857,0,0,2,2,no
M,M,11,8,0.5,0.5,0,0,0,1,no
M,M,16,7,0.2857142857142857,0.42857142857142855,0,0,0,1,yes
M,M,11,7,0.5714285714285714,0.5,0,0,0,0,no
M,M,6,14,0.5714285714285714,0.42857142857142855,0,0,1,0,yes
M,M,15,6,0.6428571428571429,0.5714285714285714,0,0,4,8,no
M,M,2,5,0.2857142857142857,0.42857142857142855,0,0,2,3,no
M,M,1,4,0.5714285714285714,0.5714285714285714,0,0,1,0,yes
M,M,1,4,0.2857142857142857,0.42857142857142855,0,0,3,9,no
K,M,1,2,0.35714285714285715,0.35714285714285715,0,0,1,3,no
