rikishi1_rank_name,rikishi1_rank_level,rikishi1_hth_wins,rikishi2_rank_name,rikishi2_rank_level,rikishi2_hth_wins,y
M,8,0,M,15,0,yes
M,8,1,M,13,1,yes
M,11,0,M,7,0,yes
M,6,4,M,9,4,no
M,6,0,M,13,0,yes
M,10,4,M,5,6,yes
M,4,0,M,7,0,yes
M,3,0,M,5,0,no
M,3,0,M,2,5,no
K,1,5,M,2,3,yes
M,1,11,K,1,11,yes
S,1,5,M,1,11,no
S,1,11,O,2,9,yes
O,1,11,M,4,3,yes
O,2,12,O,1,10,no
Y,1,24,O,3,7,yes
J,1,1,M,16,4,no
J,1,0,M,15,0,yes
M,14,1,M,12,2,yes
M,16,3,M,11,0,no
M,11,0,M,13,3,yes
M,14,0,M,10,1,no
M,8,0,M,13,0,no
M,12,0,M,7,0,no
M,9,0,M,7,0,no
M,6,3,M,9,8,yes
M,6,5,M,10,7,no
M,15,2,M,5,3,yes
M,8,1,M,4,3,no
M,3,0,M,5,1,no
M,1,4,M,4,5,yes
K,1,2,M,2,7,no
K,1,0,M,1,3,no
S,1,5,M,2,1,yes
O,3,3,O,1,17,no
O,2,0,M,3,0,yes
S,1,8,O,1,10,no
O,2,10,Y,1,23,yes
M,11,0,M,10,1,no
M,10,0,M,14,1,yes
M,16,0,M,9,1,yes
M,9,0,M,13,0,yes
M,11,0,M,8,0,no
M,15,0,M,8,1,yes
M,15,1,M,7,1,no
M,16,0,M,7,1,no
M,6,0,M,13,0,no
M,14,0,M,6,0,yes
M,12,0,M,5,1,no
M,4,4,M,12,2,yes
M,3,1,M,5,6,no
M,1,2,M,2,3,no
K,1,2,M,3,1,yes
S,1,10,M,2,3,yes
M,1,11,S,1,5,no
O,1,10,O,1,12,no
O,3,1,M,4,0,yes
K,1,6,O,2,11,no
Y,1,28,O,2,7,no
M,12,2,J,1,7,no
M,12,0,J,2,0,no
M,11,3,M,16,2,yes
M,16,0,M,9,0,no
M,14,2,M,9,1,no
M,8,2,M,13,1,yes
M,15,1,M,8,5,no
M,7,0,M,15,0,yes
M,6,0,M,11,1,yes
M,10,0,M,5,0,yes
M,5,1,M,10,0,no
M,4,0,M,7,0,no
M,14,1,M,4,0,no
M,1,3,M,2,7,yes
K,1,1,M,2,2,no
M,3,5,K,1,1,no
S,1,0,M,3,0,no
M,1,12,S,1,16,yes
O,2,11,O,1,8,no
O,2,22,O,3,13,yes
Y,1,27,O,1,3,yes
M,16,1,J,3,2,yes
M,14,3,J,2,1,no
J,1,1,M,12,1,yes
M,12,0,M,10,1,no
M,9,1,M,15,0,yes
M,9,0,M,13,0,yes
M,8,2,M,10,2,no
M,11,0,M,8,1,no
M,16,0,M,7,1,yes
